Time,Latitude,Longitude,Course,kts,mph,AltitudeFeet,Reporting Facility
12:52:10 PM,24.3333,-135.6333,221,498,573,36000,Oakland Oceanic
11:11:25 AM,33.0747,-123.5354,244,483,556,34000,FlightAware ADS-B (KSBA)
7:35:21 PM,-19.6838,-169.8042,210,,,37975,FlightAware Approximate
10:27:39 PM,-36.7389,175.6476,248,333,383,11175,FlightAware ADS-B (AKL / NZAA)
8:07:07 PM,-23.3477,-171.9803,209,,,37975,FlightAware Approximate
10:11:08 PM,-36.0219,177.708,246,471,542,38975,FlightAware ADS-B (TRG / NZTG)
8:01:35 PM,-22.7105,-171.5951,209,,,37975,FlightAware Approximate
8:03:47 PM,-22.964,-171.7478,209,,,37975,FlightAware Approximate
9:31:15 PM,-32.7829,-178.5226,218,,,37975,FlightAware Approximate
10:29:55 PM,-36.812,175.4292,249,274,315,9225,FlightAware ADS-B (AKL / NZAA)
7:27:18 PM,-18.7659,-169.2411,210,,,37975,FlightAware Approximate
8:58:16 PM,-29.2785,-175.5471,208,,,37975,FlightAware Approximate
8:26:25 PM,-25.5743,-173.3294,207,,,37975,FlightAware Approximate
10:53:30 AM,33.6938,-120.8687,263,476,548,27450,FlightAware ADS-B (KSZP)
10:28:39 PM,-36.7735,175.5446,249,310,357,10500,FlightAware ADS-B (AKL / NZAA)
7:12:49 PM,-17.1105,-168.2431,210,,,37975,FlightAware Approximate
10:08:02 PM,-35.8559,178.1654,246,470,541,39000,FlightAware ADS-B (TRG / NZTG)
8:35:33 PM,-26.6407,-173.9508,208,,,37975,FlightAware Approximate
8:53:33 PM,-28.7327,-175.2093,208,,,37975,FlightAware Approximate
11:12:26 AM,33.0123,-123.6785,244,484,557,33975,FlightAware ADS-B (KSBA)
8:08:10 PM,-23.4684,-172.0539,209,,,37975,FlightAware Approximate
10:52:00 AM,33.7208,-120.6333,263,467,537,26200,FlightAware ADS-B (KSZP)
9:30:09 PM,-32.6694,-178.4158,218,,,37975,FlightAware Approximate
8:56:59 PM,-29.1301,-175.4549,208,,,37975,FlightAware Approximate
10:55:33 AM,33.656,-121.1909,262,474,545,29725,FlightAware ADS-B (KSAN)
10:25:34 PM,-36.6643,175.8689,247,335,386,14550,FlightAware ADS-B (AMZ / NZAR)
10:34:10 PM,-36.9302,175.0747,248,219,252,4250,FlightAware ADS-B (NZPK)
1:30:22 PM,20.3298,-139.2624,220,,,36000,FlightAware Approximate
10:13:13 PM,-36.1313,177.4038,246,469,540,35275,FlightAware ADS-B (NZRW)
9:47:08 PM,-34.4111,179.9041,219,,,37975,FlightAware Approximate
6:48:47 PM,-14.4185,-166.5238,218,,,37975,FlightAware Approximate
10:19:34 PM,-36.4293,176.5543,246,386,444,23700,FlightAware ADS-B (ROT / NZRO)
10:43:27 AM,33.8562,-119.385,263,402,463,16250,FlightAware ADS-B (KLPC)
10:31:16 PM,-36.8507,175.3137,248,266,306,7100,FlightAware ADS-B (NZPK)
11:13:56 AM,32.9192,-123.8911,244,485,558,34000,FlightAware ADS-B (KSBA)
6:45:31 PM,-14.0806,-166.2486,218,,,37975,FlightAware Approximate
10:57:34 AM,33.6186,-121.5028,262,466,536,32025,FlightAware ADS-B (KSBP)
10:12:13 PM,-36.0787,177.5497,246,469,540,37800,FlightAware ADS-B (NZRW)
11:21:18 AM,32.4537,-124.9351,243,492,566,34000,FlightAware ADS-B (KSBA)
10:42:27 AM,33.8695,-119.2536,264,393,452,14800,FlightAware ADS-B (KLPC)
3:47:04 PM,5,-151,219,506,582,36000,Oakland Oceanic
10:15:13 PM,-36.2324,177.1183,246,440,506,31225,FlightAware ADS-B (TRG / NZTG)
10:34:56 PM,-36.946,175.0246,251,193,222,3850,FlightAware ADS-B (NZWP)
10:56:52 AM,33.6316,-121.3959,263,467,537,31250,FlightAware ADS-B (KSZP)
5:52:41 PM,-8.521,-161.8035,219,490,564,38000,FlightAware ADS-B (MHX / NCMH)
9:57:13 PM,-34.8833,179.4333,219,492,566,37975, New Zealand
9:07:21 PM,-30.2976,-176.2608,217,,,37975,FlightAware Approximate
10:33:47 PM,-36.9209,175.102,248,233,268,4400,FlightAware ADS-B (AKL / NZAA)
4:32:57 PM,0,-155,219,552,635,36000,Oakland Oceanic
1:40:10 PM,19.15,-140.1167,214,501,577,36000,Oakland Oceanic
9:27:51 PM,-32.4318,-178.1933,218,,,37975,FlightAware Approximate
8:10:31 PM,-23.7387,-172.2189,209,,,37975,FlightAware Approximate
5:35:32 PM,-6.6945,-160.3425,219,490,564,37975,FlightAware ADS-B (MHX / NCMH)
7:57:00 PM,-22.1821,-171.2787,209,,,37975,FlightAware Approximate
10:41:21 AM,33.8839,-119.1136,263,380,437,13200,FlightAware ADS-B (KSMO)
10:39:24 PM,-37.0119,174.7867,250,141,162,425,FlightAware ADS-B (AKL / NZAA)
10:44:46 AM,33.8376,-119.5631,264,416,479,17975,FlightAware ADS-B (KNTD)
6:29:40 PM,-12.4371,-164.9246,218,,,37975,FlightAware Approximate
10:34:51 AM,33.9303,-118.4759,265,218,251,2025,FlightAware ADS-B (KSMO)
7:02:37 PM,-15.9416,-167.5509,209,,,37975,FlightAware Approximate
9:39:21 PM,-33.6157,-179.3175,219,,,37975,FlightAware Approximate
6:55:45 PM,-15.1535,-167.0894,209,,,37975,FlightAware Approximate
6:03:10 PM,-9.6358,-162.7042,219,487,560,38000,FlightAware ADS-B (MHX / NCMH)
9:06:13 PM,-30.1788,-176.1564,217,,,37975,FlightAware Approximate
8:37:48 PM,-26.903,-174.1056,208,,,37975,FlightAware Approximate
11:26:38 AM,32.107,-125.6936,243,492,566,33975,FlightAware ADS-B (KSBA)
10:35:51 AM,33.9236,-118.5577,265,270,311,3550,FlightAware ADS-B (KLAX)
5:56:18 PM,-8.9064,-162.1141,219,489,563,38000,FlightAware ADS-B (MHX / NCMH)
10:09:08 PM,-35.9145,178.0046,246,472,543,39000,FlightAware ADS-B (TRG / NZTG)
9:59:36 PM,-35.1318,179.1825,220,488,562,39000,FlightAware ADS-B (WHK / NZWK)
5:42:26 PM,-7.425,-160.9249,219,487,560,37975,FlightAware ADS-B (PYE / NCPY)
6:16:09 PM,-10.9871,-163.7745,218,,,38000,FlightAware Approximate
10:04:41 PM,-35.6619,178.6393,223,483,556,38975,FlightAware ADS-B (NZRW)
6:09:24 PM,-10.2831,-163.2214,218,,,38000,FlightAware Approximate
10:41:39 AM,33.8802,-119.1514,263,383,441,13650,FlightAware ADS-B (KTOA)
10:00:48 PM,-35.2586,179.0536,220,489,563,38975,FlightAware ADS-B (NZRW)
8:09:25 PM,-23.6122,-172.1416,209,,,37975,FlightAware Approximate
9:49:20 PM,-34.6351,179.6813,219,,,37975,FlightAware Approximate
7:00:27 PM,-15.6931,-167.4049,209,,,37975,FlightAware Approximate
3:06:34 PM,9.4667,-147.4333,219,502,578,36000,Oakland Oceanic
9:17:33 PM,-31.3631,-177.2114,218,,,37975,FlightAware Approximate
1:30:34 PM,20.2667,-139.3167,223,486,559,36000,Oakland Oceanic
9:05:09 PM,-30.0669,-176.0585,217,,,37975,FlightAware Approximate
1:30:54 PM,20.2333,-139.35,214,497,572,36000,Oakland Oceanic
7:46:43 PM,-20.9943,-170.5773,209,,,37975,FlightAware Approximate
9:40:27 PM,-33.7284,-179.4266,219,,,37975,FlightAware Approximate
9:01:37 PM,-29.6657,-175.7892,209,,,37975,FlightAware Approximate
10:23:33 PM,-36.5889,176.0905,247,352,405,17525,FlightAware ADS-B (AKL / NZAA)
5:46:46 PM,-7.8882,-161.2955,219,492,566,38000,FlightAware ADS-B (MHX / NCMH)
5:47:34 PM,-7.9743,-161.3645,219,490,564,38000,FlightAware ADS-B (MHX / NCMH)
11:05:41 AM,33.4211,-122.7299,243,474,545,33975,FlightAware ADS-B (KWVI)
6:51:12 PM,-14.6682,-166.7279,218,,,37975,FlightAware Approximate
7:20:29 PM,-17.9874,-168.769,210,,,37975,FlightAware Approximate
8:46:45 PM,-27.9443,-174.7285,208,,,37975,FlightAware Approximate
10:53:55 AM,33.6865,-120.932,262,478,550,27825,FlightAware ADS-B (KSMO)
11:20:48 AM,32.4853,-124.8652,243,490,564,33975,FlightAware ADS-B (KSBA)
11:09:58 AM,33.1636,-123.3302,244,478,550,34000,FlightAware ADS-B (KSBA)
10:36:47 PM,-36.9762,174.9158,251,162,186,2425,FlightAware ADS-B (AKL / NZAA)
10:45:18 AM,33.8297,-119.6385,264,423,487,18575,FlightAware ADS-B (KSZP)
11:11:56 AM,33.0433,-123.6076,244,483,556,34000,FlightAware ADS-B (KSBA)
12:23:22 PM,27.3833,-132.7,222,504,580,34000,Oakland Oceanic
7:32:59 PM,-19.4141,-169.638,210,,,37975,FlightAware Approximate
10:25:04 PM,-36.6457,175.9232,248,341,392,15125,FlightAware ADS-B (AKL / NZAA)
11:07:57 AM,33.2854,-123.0477,244,475,547,33975,FlightAware ADS-B (KSBA)
6:53:30 PM,-14.9057,-166.9226,218,,,37975,FlightAware Approximate
4:23:21 PM,1.05,-154.1667,218,498,573,36000,Oakland Oceanic
9:23:17 PM,-31.9589,-177.7551,218,,,37975,FlightAware Approximate
